Qxy_unique;intensity_unique;multiplicity;
1.2548802291151562;0.0009784116674753454;2;
1.50703904778762;1.0;4;
1.6690623740681594;0.21328232525095606;2;
2.088179493710765;0.21427906024534346;4;
2.503593561102239;0.026241797361267243;2;
2.5097604582303124;0.025053123817957105;2;
2.644870480728487;0.032289535112610936;4;
2.800483013449054;0.06407894348964031;4;
3.01407809557524;0.10562958503344277;4;
3.3381247481363188;0.016193575395173545;2;
3.5449793055656924;0.1589945353410861;4;
3.566202633550745;0.02395794068740013;4;
3.7646406873454685;0.005638124269442608;2;
3.856029279835602;0.027677171162217445;4;
4.118044282586942;0.04367486593388696;4;
4.17635898742153;0.03147472163139145;4;
4.5211171433628605;0.011177011518249257;4;
5.019520916460625;0.010327109814515062;2;
5.031460656602327;0.13723510703671332;4;
5.088421418565705;0.0281535019764791;4;
5.289740961456974;0.023630974017662558;4;
5.609239783605109;0.025099891474100206;4;
6.02815619115048;0.0065360295200878;4;
