Qxy_all;intensity_all;hk_all;
1.2548802291151562;0.0004892058337376727;[0, -1];
1.2548802291151562;0.0004892058337376727;[0, 1];
1.50703904778762;0.24030940663388856;[-1, 1];
1.50703904778762;0.24030940663388856;[1, -1];
1.50703904778762;0.25969059336611144;[-1, -1];
1.50703904778762;0.25969059336611144;[1, 1];
1.6690623740681594;0.10664116262547803;[-2, 0];
1.6690623740681594;0.10664116262547803;[2, 0];
2.088179493710765;0.04897388948873333;[-2, -1];
2.088179493710765;0.04897388948873333;[2, 1];
2.088179493710765;0.05816564063393839;[-2, 1];
2.088179493710765;0.05816564063393839;[2, -1];
2.503593561102239;0.013120898680633621;[-3, 0];
2.503593561102239;0.013120898680633621;[3, 0];
2.5097604582303124;0.012526561908978552;[0, -2];
2.5097604582303124;0.012526561908978552;[0, 2];
2.644870480728487;0.0037251796234253893;[-1, 2];
2.644870480728487;0.0037251796234253893;[1, -2];
2.644870480728487;0.01241958793288008;[-1, -2];
2.644870480728487;0.01241958793288008;[1, 2];
2.800483013449054;0.004666161952859941;[-3, -1];
2.800483013449054;0.004666161952859941;[3, 1];
2.8004830134490546;0.027373309791960215;[-3, 1];
2.8004830134490546;0.027373309791960215;[3, -1];
3.01407809557524;0.013502926224386586;[-2, 2];
3.01407809557524;0.013502926224386586;[2, -2];
3.01407809557524;0.0393118662923348;[-2, -2];
3.01407809557524;0.0393118662923348;[2, 2];
3.3381247481363188;0.008096787697586772;[-4, 0];
3.3381247481363188;0.008096787697586772;[4, 0];
3.5449793055656924;0.03966727268494959;[-3, 2];
3.5449793055656924;0.03966727268494959;[3, -2];
3.5449793055656924;0.03982999498559345;[-3, -2];
3.5449793055656924;0.03982999498559345;[3, 2];
3.566202633550745;0.0015973860704656812;[-4, -1];
3.566202633550745;0.0015973860704656812;[4, 1];
3.566202633550745;0.010381584273234384;[-4, 1];
3.566202633550745;0.010381584273234384;[4, -1];
3.7646406873454685;0.002819062134721304;[0, -3];
3.7646406873454685;0.002819062134721304;[0, 3];
3.856029279835602;0.004410103199170842;[-1, -3];
3.856029279835602;0.004410103199170842;[1, 3];
3.856029279835602;0.009428482381937879;[-1, 3];
3.856029279835602;0.009428482381937879;[1, -3];
4.118044282586942;0.0015457810135404385;[-2, 3];
4.118044282586942;0.0015457810135404385;[2, -3];
4.118044282586942;0.02029165195340304;[-2, -3];
4.118044282586942;0.02029165195340304;[2, 3];
4.17635898742153;0.0019236423776385137;[-4, -2];
4.17635898742153;0.0019236423776385137;[4, 2];
4.17635898742153;0.013813718438057213;[-4, 2];
4.17635898742153;0.013813718438057213;[4, -2];
4.5211171433628605;0.0003828699778924939;[-3, 3];
4.5211171433628605;0.0003828699778924939;[3, -3];
4.5211171433628605;0.005205635781232135;[-3, -3];
4.5211171433628605;0.005205635781232135;[3, 3];
5.019520916460625;0.005163554907257531;[0, -4];
5.019520916460625;0.005163554907257531;[0, 4];
5.031460656602327;0.03077444465723755;[-4, 3];
5.031460656602327;0.03077444465723755;[4, -3];
5.031460656602327;0.037843108861119114;[-4, -3];
5.031460656602327;0.037843108861119114;[4, 3];
5.088421418565705;0.0005009119326679676;[-1, 4];
5.088421418565705;0.0005009119326679676;[1, -4];
5.088421418565705;0.013575839055571583;[-1, -4];
5.088421418565705;0.013575839055571583;[1, 4];
5.289740961456974;0.005840287904040566;[-2, -4];
5.289740961456974;0.005840287904040566;[2, 4];
5.289740961456974;0.005975199104790714;[-2, 4];
5.289740961456974;0.005975199104790714;[2, -4];
5.609239783605109;0.0016443755272744173;[-3, 4];
5.609239783605109;0.0016443755272744173;[3, -4];
5.609239783605109;0.010905570209775685;[-3, -4];
5.609239783605109;0.010905570209775685;[3, 4];
6.02815619115048;0.0004142527603004575;[-4, 4];
6.02815619115048;0.0004142527603004575;[4, -4];
6.02815619115048;0.0028537619997434428;[-4, -4];
6.02815619115048;0.0028537619997434428;[4, 4];
